Sample,Item,Method,Batch,Result
9297682,A,HPLC,VITB01-16-0184,5.92
9297682,B,HPLC,VITB01-16-0184,5.79
9297682,C,HPLC,VITB01-16-0184,5.76
9249418,A,HPLC,VITB01-16-0184,3.89
9249418,B,HPLC,VITB01-16-0184,3.9
9249418,C,HPLC,VITB01-16-0184,3.86
9297682,A,HPLC,VITB01-17-0001,5.82
9297682,B,HPLC,VITB01-17-0001,5.89
9297682,C,HPLC,VITB01-17-0001,5.84
9249418,A,HPLC,VITB01-17-0001,3.9
9249418,B,HPLC,VITB01-17-0001,3.83
9249418,C,HPLC,VITB01-17-0001,3.85
9297682,A,HPLC,VITB01-17-0004,5.68
9297682,B,HPLC,VITB01-17-0004,5.82
9297682,C,HPLC,VITB01-17-0004,5.69
9249418,A,HPLC,VITB01-17-0004,3.86
9249418,B,HPLC,VITB01-17-0004,3.84
9249418,C,HPLC,VITB01-17-0004,3.77
9297682,A,HPLC,VITB01-17-0005,5.92
9297682,B,HPLC,VITB01-17-0005,6.11
9297682,C,HPLC,VITB01-17-0005,6.12
9249418,A,HPLC,VITB01-17-0005,3.85
9249418,B,HPLC,VITB01-17-0005,3.86
9249418,C,HPLC,VITB01-17-0005,3.88
9297682,A,HPLC,VITB01-17-0006,6.2
9297682,B,HPLC,VITB01-17-0006,5.69
9297682,C,HPLC,VITB01-17-0006,5.3
9249418,A,HPLC,VITB01-17-0006,3.46
9249418,B,HPLC,VITB01-17-0006,4.07
9249418,C,HPLC,VITB01-17-0006,3.71
9297682,A,UPLC,VITB01-16-0184,5.89
9297682,B,UPLC,VITB01-16-0184,6.05
9297682,C,UPLC,VITB01-16-0184,5.97
9249418,A,UPLC,VITB01-16-0184,3.99
9249418,B,UPLC,VITB01-16-0184,4.0
9249418,C,UPLC,VITB01-16-0184,4.0
9297682,A,UPLC,VITB01-17-0001,6.07
9297682,B,UPLC,VITB01-17-0001,6.09
9297682,C,UPLC,VITB01-17-0001,6.17
9249418,A,UPLC,VITB01-17-0001,3.96
9249418,B,UPLC,VITB01-17-0001,3.99
9249418,C,UPLC,VITB01-17-0001,4.11
9297682,A,UPLC,VITB01-17-0004,6.79
9297682,B,UPLC,VITB01-17-0004,6.65
9297682,C,UPLC,VITB01-17-0004,6.6
9249418,A,UPLC,VITB01-17-0004,4.41
9249418,B,UPLC,VITB01-17-0004,4.37
9249418,C,UPLC,VITB01-17-0004,4.35
